id,ingredient_name,ingredient_link,ingredient_image
1,1 oz  Coconut rum,/ingredient/135-Coconut-rum,../images/ingredients/Coconut rum-Medium.png
1,1/2 oz  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
1,4 oz  Orange juice,/ingredient/352-Orange-juice,../images/ingredients/Orange juice-Medium.png
1,1/2 oz  Grenadine,/ingredient/250-Grenadine,../images/ingredients/Grenadine-Medium.png
2,2 oz  Light rum,/ingredient/305-Light-rum,../images/ingredients/Light rum-Medium.png
2,4 oz  Ginger beer,/ingredient/229-Ginger-beer,../images/ingredients/Ginger beer-Medium.png
2,1 twist of  Lemon peel,/ingredient/294-Lemon-peel,../images/ingredients/Lemon peel-Medium.png
3,1 oz  Vodka,/ingredient/1-Vodka,../images/ingredients/Vodka-Medium.png
3,1 oz  Peach schnapps,/ingredient/379-Peach-schnapps,../images/ingredients/Peach schnapps-Medium.png
3,3 oz  Orange juice,/ingredient/352-Orange-juice,../images/ingredients/Orange juice-Medium.png
3,3 oz  Cranberry juice,/ingredient/155-Cranberry-juice,../images/ingredients/Cranberry juice-Medium.png
4,2 oz  Vodka,/ingredient/1-Vodka,../images/ingredients/Vodka-Medium.png
4,1 oz  Kirschwasser,/ingredient/284-Kirschwasser,../images/ingredients/Kirschwasser-Medium.png
4,1 tsp  Strawberry liqueur,/ingredient/472-Strawberry-liqueur,../images/ingredients/Strawberry liqueur-Medium.png
4,5  Strawberries,/ingredient/470-Strawberries,../images/ingredients/Strawberries-Medium.png
4,Schweppes Russchian,/ingredient/444-Schweppes-Russchian,../images/ingredients/Schweppes Russchian-Medium.png
5,1 oz  Light rum,/ingredient/305-Light-rum,../images/ingredients/Light rum-Medium.png
5,1 oz  Añejo rum,/ingredient/37-Añejo-rum,../images/ingredients/Añejo rum-Medium.png
5,1 oz  Orange juice,/ingredient/352-Orange-juice,../images/ingredients/Orange juice-Medium.png
5,1/2 oz  Lemon juice,/ingredient/293-Lemon-juice,../images/ingredients/Lemon juice-Medium.png
5,3 oz  Ginger ale,/ingredient/228-Ginger-ale,../images/ingredients/Ginger ale-Medium.png
5,1 twist of  Lemon peel,/ingredient/294-Lemon-peel,../images/ingredients/Lemon peel-Medium.png
6,1 shot  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
6,1 shot  Southern Comfort,/ingredient/458-Southern-Comfort,../images/ingredients/Southern Comfort-Medium.png
6,cubes Ice,/ingredient/270-Ice,../images/ingredients/Ice-Medium.png
6,Sour mix,/ingredient/457-Sour-mix,../images/ingredients/Sour mix-Medium.png
7,2 oz  Cranberry juice,/ingredient/155-Cranberry-juice,../images/ingredients/Cranberry juice-Medium.png
7,2 oz  Soda water,/ingredient/455-Soda-water,../images/ingredients/Soda water-Medium.png
7,0.5 oz  Midori melon liqueur,/ingredient/331-Midori-melon-liqueur,../images/ingredients/Midori melon liqueur-Medium.png
7,0.5 oz  Creme de Banane,/ingredient/163-Creme-de-Banane,../images/ingredients/Creme de Banane-Medium.png
8,1 jigger  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
8,Juice of 1/2  Lemon,/ingredient/299-Lemon,../images/ingredients/Lemon-Medium.png
8,Ice,/ingredient/270-Ice,../images/ingredients/Ice-Medium.png
8,Maraschino cherry,/ingredient/322-Maraschino-cherry,../images/ingredients/Maraschino cherry-Medium.png
9,1 1/2 oz  Applejack,/ingredient/31-Applejack,../images/ingredients/Applejack-Medium.png
9,1 oz  Grapefruit juice,/ingredient/242-Grapefruit-juice,../images/ingredients/Grapefruit juice-Medium.png
10,1/2 oz  White Creme de Menthe,/ingredient/520-White-Creme-de-Menthe,../images/ingredients/White Creme de Menthe-Medium.png
10,3/4 oz  Southern Comfort,/ingredient/458-Southern-Comfort,../images/ingredients/Southern Comfort-Medium.png
10,1/2 oz  Vodka,/ingredient/1-Vodka,../images/ingredients/Vodka-Medium.png
10,Fill with  Hot chocolate,/ingredient/264-Hot-chocolate,../images/ingredients/Hot chocolate-Medium.png
11,1 3/4 shot  Gin,/ingredient/2-Gin,../images/ingredients/Gin-Medium.png
11,1 Shot  Grand Marnier,/ingredient/238-Grand-Marnier,../images/ingredients/Grand Marnier-Medium.png
11,1/4 Shot Lemon Juice,/ingredient/293-Lemon-Juice,../images/ingredients/Lemon Juice-Medium.png
11,1/8 Shot Grenadine,/ingredient/250-Grenadine,../images/ingredients/Grenadine-Medium.png
12,1 1/2 oz  Gin,/ingredient/2-Gin,../images/ingredients/Gin-Medium.png
12,1 dash  Orange bitters,/ingredient/350-Orange-bitters,../images/ingredients/Orange bitters-Medium.png
12,Juice of 1/4  Orange,/ingredient/359-Orange,../images/ingredients/Orange-Medium.png
12,1  Cherry,/ingredient/106-Cherry,../images/ingredients/Cherry-Medium.png
13,2 shots  Gin,/ingredient/2-Gin,../images/ingredients/Gin-Medium.png
13,1 shot  Sweet Vermouth,/ingredient/482-Sweet-Vermouth,../images/ingredients/Sweet Vermouth-Medium.png
13,1 shot  Orange Juice,/ingredient/352-Orange-Juice,../images/ingredients/Orange Juice-Medium.png
13,3 dashes  Angostura Bitters,/ingredient/20-Angostura-Bitters,../images/ingredients/Angostura Bitters-Medium.png
14,1/3  Amaretto,/ingredient/18-Amaretto,../images/ingredients/Amaretto-Medium.png
14,1/3  Baileys irish cream,/ingredient/43-Baileys-irish-cream,../images/ingredients/Baileys irish cream-Medium.png
